NGO Name,Required Skills (checkbox),Location,Urgency,Number of volunteers needed
helping hands ngo,"medical, teaching, logistics",new delhi,medium,10
care ngo,"medical, logistics, rescue",mumbai,high,15
relief india,"logistics, rescue",bangalore,medium,12
teach for india,"teaching, medical",new delhi,high,7
food and aid,"logistics, teaching",gurgaon,low,3
emergency rescue force,"rescue, medical","pitampura, delhi, in",high,20
youth volunteers society,"teaching, logistics",noida,medium,6
healthfirst ngo,medical,delhi ncr,high,8
city rescue ngo,"rescue, logistics",pune,medium,9
learn & help,"teaching, medical, logistics",indore,low,4
safe hands ngo,"medical, rescue",bhopal,high,11
community care ngo,"teaching, logistics, rescue",ahmedabad,medium,13
urban aid mission,"medical, teaching",hyderabad,high,14
global help ngo,"medical, teaching, logistics, rescue",new delhi,high,18
