NGO Name,Required Skills (checkbox),Location,Urgency,Number of volunteers needed
Helping Hands NGO,"medical, teaching, logistics",New Delhi,medium, 10 
,"teaching,medical",Delhi,low,5
CARE NGO,"medical, logistics, rescue",Mumbai,high,  15  
Relief India,"logistics, rescue",Bangalore,medium,12
Teach for India,"teaching, medical",New Delhi,high,7
Food and Aid,"logistics, teaching",Gurgaon,low,3
Emergency Rescue Force,"rescue, medical","Pitampura, Delhi, IN",high, 20 
Youth Volunteers Society,"teaching, logistics",Noida,medium,6
HealthFirst NGO,medical,Delhi NCR,high,8
City Rescue NGO,"rescue, logistics",Pune,medium,9
Learn & Help,"teaching, medical, logistics",Indore,low,4
Safe Hands NGO,"medical, rescue",Bhopal,high,11
Community Care NGO,"teaching, logistics, rescue",Ahmedabad,medium,13
Urban Aid Mission,"medical, teaching",Hyderabad,high,14
Global Help NGO,"medical, teaching, logistics, rescue",New Delhi,high,18
